Original Data	Log Sales	Trendless and Seasonless	Only Seasonless	Moving Avg	Global Polynomial fit	MA order 7
"1,460,875"	14.19454613	-0.0251	14.1633	14.18840748	13.6980273	14.17986255
"1,255,879"	14.04334628	-0.0526	14.1337	14.18626084	13.69838025	14.19645418
"1,048,884"	13.8632373	-0.0521	14.1364	14.18846177	13.69873308	14.20159719
"1,198,146"	13.99628592	0.0873	14.2797	14.19243542	13.6990858	14.21032079
"1,630,677"	14.30450582	0.0953	14.287	14.19172508	13.6994384	14.20697903
"2,072,491"	14.54426182	0.0516	14.244	14.1923511	13.69979089	14.20688903
"2,157,383"	14.58440647	0.0309	14.2282	14.197255	13.70014326	14.21697243
"1,752,970"	14.37682205	-0.0672	14.1399	14.20712035	13.70049552	14.19913766
"1,219,648"	14.01407285	-0.0897	14.1331	14.22280975	13.70084766	14.19174023
"1,113,084"	13.9226451	-0.0206	14.2069	14.22753061	13.70119969	14.18729367
"1,339,625"	14.10790028	-0.0644	14.1549	14.21929664	13.7015516	14.20054585
"1,776,676"	14.39025499	0.0256	14.2352	14.20963398	13.70190339	14.22708528
"1,535,085"	14.24409599	0.0143	14.2129	14.19857735	13.70225507	14.23717181
"1,514,453"	14.23056488	0.1284	14.3209	14.19252223	13.70260664	14.23124053
"1,267,509"	14.05256427	0.1287	14.3257	14.19703596	13.70295809	14.22821276
"1,110,432"	13.9202596	0.0024	14.2037	14.20128587	13.70330942	14.20505237
"1,443,985"	14.18291686	-0.0443	14.1654	14.20971881	13.70366064	14.19602083
"1,856,024"	14.43394696	-0.0893	14.1337	14.22298317	13.70401174	14.18327217
"1,847,534"	14.42936223	-0.1644	14.0731	14.23752561	13.70436273	14.16679315
"1,770,095"	14.38654349	-0.0991	14.1496	14.2486929	13.70471361	14.18824794
"1,346,045"	14.11268085	-0.0143	14.2317	14.24596092	13.70506436	14.21526948
"1,116,864"	13.92603505	-0.0294	14.2103	14.23977049	13.70541501	14.25939286
"1,634,587"	14.30690091	0.1169	14.3539	14.23695798	13.70576553	14.3002714
"2,001,883"	14.50959885	0.1211	14.3546	14.233453	13.70611594	14.3105781
"1,931,429"	14.4737707	0.2133	14.4425	14.22923666	13.70646624	14.30019739
"1,573,645"	14.26890514	0.1312	14.3593	14.2280803	13.70681642	14.2905193
"1,142,417"	13.94865658	-0.0045	14.2218	14.22627238	13.70716649	14.25030834
"1,061,928"	13.87559696	-0.0669	14.159	14.22593864	13.70751644	14.20439734
"1,411,381"	14.16007914	-0.0834	14.1426	14.22600511	13.70786627	14.16429195
"1,745,698"	14.37266521	-0.1494	14.0724	14.22175547	13.70821599	14.13813069
"1,775,250"	14.38945187	-0.181	14.0332	14.21415536	13.70856559	14.14328681
"1,791,746"	14.39870123	-0.0525	14.1618	14.2142627	13.70891508	14.16455869
"1,273,313"	14.05713288	-0.0408	14.1761	14.21698077	13.70926446	14.18683584
"1,171,240"	13.9735734	0.0435	14.2579	14.21435837	13.70961371	14.22166318
"1,561,188"	14.26095788	0.0927	14.3079	14.21519448	13.70996286	14.28666179
"1,892,767"	14.45355039	0.0777	14.2985	14.22080099	13.71031188	14.28613218
"1,702,174"	14.34741664	0.0841	14.3162	14.23204696	13.7106608	14.28379528
"1,790,195"	14.39783528	0.2528	14.4882	14.23538468	13.71100959	14.27008428
"1,071,918"	13.88496022	-0.0741	14.1581	14.23217501	13.71135827	14.25290067
"1,062,734"	13.87635558	-0.0724	14.1598	14.23217501	13.71170684	14.23709012
"1,438,897"	14.17938713	-0.0703	14.1619	14.23217501	13.71205529	14.20438542
"1,958,939"	14.48791366	-0.0445	14.1876	14.23217501	13.71240363	14.15945087
"2,072,169"	14.54410654	-0.0443	14.1879	14.23217501	13.71275185	14.15945087
"1,663,030"	14.32415198	-0.1449	14.0872	14.23217501	13.71309995	14.15945087
"1,270,156"	14.05465005	-0.0585	14.1737	14.23217501	13.71344794	14.15945087
					13.71379581	
					13.71414357	
					13.71449122	
					13.71483874	
					13.71518616	
					13.71553345	
					13.71588064	
					13.7162277	
					13.71657465	
					13.71692149	
					13.71726821	
					13.71761482	
					13.71796131	
					13.71830768	
					13.71865394	
					13.71900008	
					13.71934611	
					13.71969202	
					13.72003782	
					13.7203835	
					13.72072907	
					13.72107452	
					13.72141986	
					13.72176508	
					13.72211019	
					13.72245518	
					13.72280005	
					13.72314481	
					13.72348946	
					13.72383399	
					13.7241784	
					13.7245227	
					13.72486688	
					13.72521095	
					13.7255549	
					13.72589874	
					13.72624246	
					13.72658607	
					13.72692956	
					13.72727293	
					13.72761619	
					13.72795934	
					13.72830237	
					13.72864528	
					13.72898808	
					13.72933076	
					13.72967333	
					13.73001579	
					13.73035812	
					13.73070035	
					13.73104245	
					13.73138444	
					13.73172632	
					13.73206808	
